Variable_Pair	P_Value
NAME_FAMILY_STATUSWidow vs SK_ID_CURR	0.748706610691643
INCOME_BRACKET300k_UP vs SK_ID_CURR	0.746341403411741
OCCUPATION_TYPESecretaries vs DEF_30_CNT_SOCIAL_CIRCLE	0.745638064046933
OCCUPATION_TYPEUnknown vs SK_ID_CURR	0.743075952307763
NAME_EDUCATION_TYPEIncomplete_higher vs DEF_30_CNT_SOCIAL_CIRCLE	0.740646868368775
OCCUPATION_TYPECore_staff vs SK_ID_CURR	0.738380821967762
INCOME_BRACKET0_50k vs OBS_60_CNT_SOCIAL_CIRCLE	0.736972793577413
NAME_FAMILY_STATUSUnknown vs DAYS_LAST_PHONE_CHANGE	0.735043801075629
OCCUPATION_TYPEWaiters/barmen_staff vs CREDIT_TO_GOODS_PRICE_RATIO	0.73391865026838
NAME_FAMILY_STATUSUnknown vs OBS_30_CNT_SOCIAL_CIRCLE	0.733323022915443
INCOME_BRACKET0_50k vs OBS_30_CNT_SOCIAL_CIRCLE	0.730680110390039
OCCUPATION_TYPERealty_agents vs DEF_30_CNT_SOCIAL_CIRCLE	0.727753044039371
NAME_FAMILY_STATUSUnknown vs OBS_60_CNT_SOCIAL_CIRCLE	0.723820236590901
OCCUPATION_TYPELow_skill_Laborers vs SK_ID_CURR	0.722897307647487
OCCUPATION_TYPESecretaries vs SK_ID_CURR	0.717571688206394
OCCUPATION_TYPEIT_staff vs CREDIT_TO_ANNUITY_RATIO	0.716854871758802
OCCUPATION_TYPEDrivers vs AMT_REQ_CREDIT_BUREAU_YEAR	0.715020070172456
OCCUPATION_TYPEMedicine_staff vs DEF_30_CNT_SOCIAL_CIRCLE	0.708335135760705
DEF_60_CNT_SOCIAL_CIRCLE vs DAYS_LAST_PHONE_CHANGE	0.686064748429684
CODE_GENDERF vs SK_ID_CURR	0.683516428460691
CODE_GENDERM vs SK_ID_CURR	0.683516428457851
OCCUPATION_TYPESecretaries vs AMT_GOODS_PRICE	0.672008784551617
NAME_FAMILY_STATUSUnknown vs AMT_ANNUITY	0.668307625503562
NAME_FAMILY_STATUSSingle_/_not_married vs DEF_30_CNT_SOCIAL_CIRCLE	0.663076423169656
INCOME_BRACKET150k_200k vs OBS_30_CNT_SOCIAL_CIRCLE	0.650924602711469
NAME_FAMILY_STATUSUnknown vs DEF_30_CNT_SOCIAL_CIRCLE	0.649702797515933
OCCUPATION_TYPEPrivate_service_staff vs OBS_60_CNT_SOCIAL_CIRCLE	0.639241674365458
OCCUPATION_TYPEPrivate_service_staff vs AMT_REQ_CREDIT_BUREAU_YEAR	0.638430888421398
HAS_CHILDREN vs SK_ID_CURR	0.620669950992948
HAS_CHILDREN_NUM vs SK_ID_CURR	0.620669950992948
OCCUPATION_TYPESecretaries vs AMT_CREDIT	0.620299901197885
OCCUPATION_TYPEIT_staff vs SK_ID_CURR	0.610204585960961
INCOME_BRACKET150k_200k vs OBS_60_CNT_SOCIAL_CIRCLE	0.60633940315755
NAME_EDUCATION_TYPEAcademic_degree vs EMPLOYED_IN_YEARS	0.582588377725131
OCCUPATION_TYPEMedicine_staff vs AMT_GOODS_PRICE	0.581515010619203
OCCUPATION_TYPEWaiters/barmen_staff vs SK_ID_CURR	0.579641929828728
OCCUPATION_TYPEManagers vs SK_ID_CURR	0.579464145975403
NAME_EDUCATION_TYPEAcademic_degree vs AGE_IN_YEARS	0.571485468073059
NAME_EDUCATION_TYPEAcademic_degree vs AGE_IN_YEARS_NUM	0.571485468073059
NAME_EDUCATION_TYPELower_secondary vs DEF_30_CNT_SOCIAL_CIRCLE	0.571169225037722
EDUCATION_LEVELhighschool_incomplete vs DEF_30_CNT_SOCIAL_CIRCLE	0.571169225037722
NAME_EDUCATION_TYPEAcademic_degree vs DAYS_BIRTH	0.570064887738373
NAME_EDUCATION_TYPEAcademic_degree vs SK_ID_CURR	0.566341138971853
NAME_FAMILY_STATUSUnknown vs EXT_SOURCE_1	0.564526836825625
OCCUPATION_TYPELaborers vs SK_ID_CURR	0.560828080993064
AGE_BUCKET26_45 vs SK_ID_CURR	0.553135406179776
OCCUPATION_TYPESecretaries vs AMT_REQ_CREDIT_BUREAU_YEAR	0.539088800882221
NAME_FAMILY_STATUSUnknown vs SK_ID_CURR	0.533223988485481
OCCUPATION_TYPEIT_staff vs CNT_CHILDREN	0.530988155287241
OCCUPATION_TYPESecretaries vs AMT_ANNUITY	0.52953109956406
OCCUPATION_TYPESecurity_staff vs CREDIT_TO_ANNUITY_RATIO	0.526244470732661
NAME_EDUCATION_TYPESecondary_/_secondary_special vs SK_ID_CURR	0.523568028142745
OCCUPATION_TYPESecurity_staff vs DEF_30_CNT_SOCIAL_CIRCLE	0.521135015029742
NAME_FAMILY_STATUSUnknown vs DAYS_EMPLOYED	0.518417546273361
FLAG_OWN_CARY vs SK_ID_CURR	0.500309738991668
FLAG_OWN_CARN vs SK_ID_CURR	0.500309738988634
NAME_EDUCATION_TYPEAcademic_degree vs CNT_CHILDREN	0.489065906957715
OCCUPATION_TYPEWaiters/barmen_staff vs AMT_REQ_CREDIT_BUREAU_YEAR	0.486433601493481
OCCUPATION_TYPECooking_staff vs SK_ID_CURR	0.480241075560916
NAME_EDUCATION_TYPEAcademic_degree vs DAYS_EMPLOYED	0.469292279714284
NAME_EDUCATION_TYPEAcademic_degree vs CREDIT_TO_ANNUITY_RATIO	0.46246405459319
NAME_FAMILY_STATUSCivil_marriage vs AMT_INCOME_TOTAL	0.462380448635386
INCOME_BRACKET150k_200k vs AMT_INCOME_TOTAL	0.453784611441156
AGE_BUCKET65_UP vs EXT_SOURCE_2	0.453454758593064
INCOME_BRACKET250k_300k vs SK_ID_CURR	0.45182398138006
OCCUPATION_TYPERealty_agents vs SK_ID_CURR	0.449539533072389
OCCUPATION_TYPEDrivers vs EXT_SOURCE_2	0.443258861107874
OCCUPATION_TYPEWaiters/barmen_staff vs DEF_30_CNT_SOCIAL_CIRCLE	0.441105827431251
OCCUPATION_TYPEHR_staff vs CNT_CHILDREN	0.440570613968149
OCCUPATION_TYPECleaning_staff vs OBS_30_CNT_SOCIAL_CIRCLE	0.418236663414426
NAME_FAMILY_STATUSUnknown vs CNT_CHILDREN	0.414067900789174
DEF_60_CNT_SOCIAL_CIRCLE vs CNT_CHILDREN	0.395709519884495
NAME_FAMILY_STATUSSingle_/_not_married vs AMT_INCOME_TOTAL	0.392635537955536
OCCUPATION_TYPESecretaries vs OBS_60_CNT_SOCIAL_CIRCLE	0.376152458708741
OCCUPATION_TYPEDrivers vs DEF_30_CNT_SOCIAL_CIRCLE	0.37031192041811
OCCUPATION_TYPECleaning_staff vs OBS_60_CNT_SOCIAL_CIRCLE	0.369562101885578
NAME_FAMILY_STATUSUnknown vs CREDIT_TO_INCOME_RATIO	0.353909910759716
NAME_FAMILY_STATUSUnknown vs CREDIT_TO_GOODS_PRICE_RATIO	0.353870984416369
NAME_CONTRACT_TYPERevolving_loans vs SK_ID_CURR	0.350249903407087
NAME_CONTRACT_TYPECash_loans vs SK_ID_CURR	0.350249903392211
NAME_FAMILY_STATUSUnknown vs AMT_INCOME_TOTAL	0.347705815085713
OCCUPATION_TYPELow_skill_Laborers vs OBS_60_CNT_SOCIAL_CIRCLE	0.343054520521257
OCCUPATION_TYPESecretaries vs OBS_30_CNT_SOCIAL_CIRCLE	0.339762560744618
OCCUPATION_TYPEAccountants vs SK_ID_CURR	0.335057214100644
NAME_EDUCATION_TYPELower_secondary vs SK_ID_CURR	0.329987334156992
EDUCATION_LEVELhighschool_incomplete vs SK_ID_CURR	0.329987334156992
OCCUPATION_TYPECore_staff vs DAYS_LAST_PHONE_CHANGE	0.326695539222614
NAME_FAMILY_STATUSUnknown vs EMPLOYED_IN_YEARS	0.324358204252677
INCOME_BRACKET200k_250k vs OBS_30_CNT_SOCIAL_CIRCLE	0.309282605610909
INCOME_BRACKET200k_250k vs OBS_60_CNT_SOCIAL_CIRCLE	0.306527687850044
OCCUPATION_TYPESecurity_staff vs SK_ID_CURR	0.30462378229165
NAME_FAMILY_STATUSWidow vs CREDIT_TO_ANNUITY_RATIO	0.303214679000142
OCCUPATION_TYPEHigh_skill_tech_staff vs SK_ID_CURR	0.299112724816308
OCCUPATION_TYPELow_skill_Laborers vs OBS_30_CNT_SOCIAL_CIRCLE	0.294598225997275
AGE_BUCKET18_25 vs SK_ID_CURR	0.281396005818347
NAME_FAMILY_STATUSSeparated vs SK_ID_CURR	0.278702298099076
OCCUPATION_TYPEWaiters/barmen_staff vs OBS_60_CNT_SOCIAL_CIRCLE	0.27339017591836
NAME_FAMILY_STATUSUnknown vs DAYS_BIRTH	0.268146683216685
NAME_FAMILY_STATUSUnknown vs AGE_IN_YEARS	0.265514890246616
NAME_FAMILY_STATUSUnknown vs AGE_IN_YEARS_NUM	0.265514890246616
INCOME_BRACKET200k_250k vs SK_ID_CURR	0.261672167953912
OCCUPATION_TYPECleaning_staff vs SK_ID_CURR	0.253202337697647
OCCUPATION_TYPESales_staff vs CREDIT_TO_GOODS_PRICE_RATIO	0.246080656451584
TARGET vs SK_ID_CURR	0.241665574832415
NAME_FAMILY_STATUSUnknown vs EXT_SOURCE_2	0.240710647060902
OCCUPATION_TYPERealty_agents vs CREDIT_TO_ANNUITY_RATIO	0.239357098473973
NAME_EDUCATION_TYPEIncomplete_higher vs AMT_ANNUITY	0.2314718518867
OCCUPATION_TYPELaborers vs DAYS_LAST_PHONE_CHANGE	0.213929262025616
OCCUPATION_TYPESecurity_staff vs OBS_60_CNT_SOCIAL_CIRCLE	0.213310679612586
OCCUPATION_TYPESecretaries vs AMT_INCOME_TOTAL	0.207510321350768
EDUCATION_LEVELhighschool_graduate vs DAYS_LAST_PHONE_CHANGE	0.205168463539781
OCCUPATION_TYPELaborers vs AMT_REQ_CREDIT_BUREAU_YEAR	0.199396561171319
INCOME_BRACKET100k_150k vs EMPLOYED_IN_YEARS	0.197520295299164
OCCUPATION_TYPERealty_agents vs EXT_SOURCE_1	0.190231207904453
OCCUPATION_TYPESecurity_staff vs OBS_30_CNT_SOCIAL_CIRCLE	0.187812020332201
OCCUPATION_TYPEWaiters/barmen_staff vs OBS_30_CNT_SOCIAL_CIRCLE	0.177905701635471
OCCUPATION_TYPEPrivate_service_staff vs CREDIT_TO_GOODS_PRICE_RATIO	0.16857005762034
INCOME_BRACKET200k_250k vs EXT_SOURCE_1	0.163786823398868
CODE_GENDERF vs CREDIT_TO_GOODS_PRICE_RATIO	0.157394503716834
CODE_GENDERM vs CREDIT_TO_GOODS_PRICE_RATIO	0.157394503716576
OCCUPATION_TYPERealty_agents vs DAYS_LAST_PHONE_CHANGE	0.153781064603875
NAME_FAMILY_STATUSSeparated vs AMT_INCOME_TOTAL	0.135674816944934
OCCUPATION_TYPEMedicine_staff vs SK_ID_CURR	0.126226605618475
NAME_EDUCATION_TYPEAcademic_degree vs CREDIT_TO_GOODS_PRICE_RATIO	0.123829379544419
OCCUPATION_TYPEPrivate_service_staff vs DEF_30_CNT_SOCIAL_CIRCLE	0.121463867804956
INCOME_BRACKET150k_200k vs CNT_CHILDREN	0.11264531088937
INCOME_BRACKET0_50k vs CREDIT_TO_GOODS_PRICE_RATIO	0.112446073537777
NAME_EDUCATION_TYPEIncomplete_higher vs SK_ID_CURR	0.11139594559442
HAS_CHILDREN vs DEF_30_CNT_SOCIAL_CIRCLE	0.111251664022387
HAS_CHILDREN_NUM vs DEF_30_CNT_SOCIAL_CIRCLE	0.111251664022387
NAME_FAMILY_STATUSUnknown vs AMT_REQ_CREDIT_BUREAU_YEAR	0.109875089140277
NAME_FAMILY_STATUSMarried vs DEF_30_CNT_SOCIAL_CIRCLE	0.101254156123819
DEF_60_CNT_SOCIAL_CIRCLE vs SK_ID_CURR	0.100692012457157
OCCUPATION_TYPEHR_staff vs OBS_60_CNT_SOCIAL_CIRCLE	0.0879439655927761
FLAG_OWN_CARN vs OBS_30_CNT_SOCIAL_CIRCLE	0.0856964665999642
FLAG_OWN_CARY vs OBS_30_CNT_SOCIAL_CIRCLE	0.085696466598594
NAME_FAMILY_STATUSWidow vs DAYS_LAST_PHONE_CHANGE	0.0852174838349742
AGE_BUCKET46_64 vs DEF_30_CNT_SOCIAL_CIRCLE	0.0847398963694617
AGE_BUCKET26_45 vs OBS_60_CNT_SOCIAL_CIRCLE	0.0805429331130227
OCCUPATION_TYPESales_staff vs SK_ID_CURR	0.0785046546634123
AGE_BUCKET26_45 vs OBS_30_CNT_SOCIAL_CIRCLE	0.0775409006817656
OCCUPATION_TYPEHR_staff vs OBS_30_CNT_SOCIAL_CIRCLE	0.0774740309589782
INCOME_BRACKET150k_200k vs DEF_30_CNT_SOCIAL_CIRCLE	0.072765849167416
OCCUPATION_TYPECleaning_staff vs DEF_30_CNT_SOCIAL_CIRCLE	0.0717794824131149
OCCUPATION_TYPEWaiters/barmen_staff vs CNT_CHILDREN	0.0706633231843209
NAME_FAMILY_STATUSSeparated vs DEF_30_CNT_SOCIAL_CIRCLE	0.0693808484078868
FLAG_OWN_CARY vs OBS_60_CNT_SOCIAL_CIRCLE	0.0639025087235892
FLAG_OWN_CARN vs OBS_60_CNT_SOCIAL_CIRCLE	0.0639025087232495
NAME_EDUCATION_TYPELower_secondary vs AMT_REQ_CREDIT_BUREAU_YEAR	0.060462920795833
EDUCATION_LEVELhighschool_incomplete vs AMT_REQ_CREDIT_BUREAU_YEAR	0.060462920795833
NAME_FAMILY_STATUSSingle_/_not_married vs SK_ID_CURR	0.0585962000753863
INCOME_BRACKET0_50k vs DEF_30_CNT_SOCIAL_CIRCLE	0.0559687460937687
OCCUPATION_TYPEMedicine_staff vs AMT_CREDIT	0.050450273060018
NAME_CONTRACT_TYPERevolving_loans vs AMT_INCOME_TOTAL	0.0500253262342336
NAME_CONTRACT_TYPECash_loans vs AMT_INCOME_TOTAL	0.0500253262341474
OCCUPATION_TYPEHR_staff vs DEF_30_CNT_SOCIAL_CIRCLE	0.0498284985329973
OCCUPATION_TYPEHR_staff vs AMT_INCOME_TOTAL	0.0439053917315121
OCCUPATION_TYPERealty_agents vs AMT_REQ_CREDIT_BUREAU_YEAR	0.0404609488133096
OCCUPATION_TYPEAccountants vs CREDIT_TO_INCOME_RATIO	0.0393977254009787
AGE_BUCKET18_25 vs OBS_60_CNT_SOCIAL_CIRCLE	0.0332775868744204
NAME_FAMILY_STATUSMarried vs AMT_REQ_CREDIT_BUREAU_YEAR	0.0327028904478734
NAME_FAMILY_STATUSMarried vs SK_ID_CURR	0.0285214245800146
TARGET vs AMT_INCOME_TOTAL	0.0272501155903212
OCCUPATION_TYPEHR_staff vs DAYS_LAST_PHONE_CHANGE	0.0248644441597597
NAME_EDUCATION_TYPELower_secondary vs OBS_60_CNT_SOCIAL_CIRCLE	0.0247981192106888
EDUCATION_LEVELhighschool_incomplete vs OBS_60_CNT_SOCIAL_CIRCLE	0.0247981192106888
INCOME_BRACKET300k_UP vs AMT_REQ_CREDIT_BUREAU_YEAR	0.0242099562207797
DEF_60_CNT_SOCIAL_CIRCLE vs CREDIT_TO_INCOME_RATIO	0.022588316682201
NAME_FAMILY_STATUSWidow vs OBS_60_CNT_SOCIAL_CIRCLE	0.0216935341264319
OCCUPATION_TYPEMedicine_staff vs OBS_30_CNT_SOCIAL_CIRCLE	0.0191158765612155
OCCUPATION_TYPEMedicine_staff vs OBS_60_CNT_SOCIAL_CIRCLE	0.0182225616117499
AGE_BUCKET18_25 vs OBS_30_CNT_SOCIAL_CIRCLE	0.0177415058799969
NAME_EDUCATION_TYPELower_secondary vs OBS_30_CNT_SOCIAL_CIRCLE	0.0173554059146581
EDUCATION_LEVELhighschool_incomplete vs OBS_30_CNT_SOCIAL_CIRCLE	0.0173554059146581
NAME_FAMILY_STATUSWidow vs OBS_30_CNT_SOCIAL_CIRCLE	0.0171487526261836
NAME_EDUCATION_TYPEAcademic_degree vs CREDIT_TO_INCOME_RATIO	0.0167471212173865
OCCUPATION_TYPEHR_staff vs AMT_REQ_CREDIT_BUREAU_YEAR	0.0165763677581865
INCOME_BRACKET250k_300k vs CNT_CHILDREN	0.0163653996053059
NAME_EDUCATION_TYPEIncomplete_higher vs EXT_SOURCE_2	0.0158913767876303
NAME_FAMILY_STATUSSeparated vs AMT_REQ_CREDIT_BUREAU_YEAR	0.0158499380919418
AGE_BUCKET65_UP vs DEF_30_CNT_SOCIAL_CIRCLE	0.0151418879328124
OCCUPATION_TYPESecurity_staff vs DAYS_LAST_PHONE_CHANGE	0.0147810033775712
OCCUPATION_TYPEHR_staff vs CREDIT_TO_ANNUITY_RATIO	0.0138936386784513
NAME_EDUCATION_TYPEIncomplete_higher vs AMT_REQ_CREDIT_BUREAU_YEAR	0.0138840598295028
OCCUPATION_TYPEIT_staff vs DEF_30_CNT_SOCIAL_CIRCLE	0.012866255471816
OCCUPATION_TYPECooking_staff vs AMT_REQ_CREDIT_BUREAU_YEAR	0.0118651490465864
OCCUPATION_TYPEPrivate_service_staff vs CREDIT_TO_ANNUITY_RATIO	0.00951720762573599
NAME_EDUCATION_TYPEAcademic_degree vs OBS_30_CNT_SOCIAL_CIRCLE	0.00908151794395427
NAME_EDUCATION_TYPEAcademic_degree vs OBS_60_CNT_SOCIAL_CIRCLE	0.00907597345341085
OCCUPATION_TYPELow_skill_Laborers vs AMT_REQ_CREDIT_BUREAU_YEAR	0.00837594910154545
OCCUPATION_TYPELaborers vs AMT_INCOME_TOTAL	0.00761227214718466
NAME_EDUCATION_TYPESecondary_/_secondary_special vs DAYS_LAST_PHONE_CHANGE	0.00741674710273566
OCCUPATION_TYPELow_skill_Laborers vs CNT_CHILDREN	0.00714973442294901
OCCUPATION_TYPEIT_staff vs DAYS_LAST_PHONE_CHANGE	0.00636353581977872
HAS_CHILDREN vs AMT_GOODS_PRICE	0.00600904186169651
HAS_CHILDREN_NUM vs AMT_GOODS_PRICE	0.00600904186169651
AGE_BUCKET46_64 vs OBS_60_CNT_SOCIAL_CIRCLE	0.00567112144242181
DEF_60_CNT_SOCIAL_CIRCLE vs AGE_IN_YEARS	0.00564239562929083
DEF_60_CNT_SOCIAL_CIRCLE vs AGE_IN_YEARS_NUM	0.00564239562929083
OCCUPATION_TYPEIT_staff vs AMT_CREDIT	0.00560677504816472
DEF_60_CNT_SOCIAL_CIRCLE vs CREDIT_TO_GOODS_PRICE_RATIO	0.00549109504887082
OCCUPATION_TYPELow_skill_Laborers vs DEF_30_CNT_SOCIAL_CIRCLE	0.00522680975030412
OCCUPATION_TYPECore_staff vs CREDIT_TO_INCOME_RATIO	0.00520347333394526
DEF_60_CNT_SOCIAL_CIRCLE vs DAYS_BIRTH	0.00515310061739833
OCCUPATION_TYPECore_staff vs AMT_INCOME_TOTAL	0.00460991232209158
NAME_FAMILY_STATUSWidow vs EXT_SOURCE_2	0.00393201164372617
OCCUPATION_TYPELaborers vs DEF_30_CNT_SOCIAL_CIRCLE	0.0038625552439931
AGE_BUCKET46_64 vs OBS_30_CNT_SOCIAL_CIRCLE	0.00383972438292625
OCCUPATION_TYPESecurity_staff vs CREDIT_TO_INCOME_RATIO	0.00338941643428098
INCOME_BRACKET0_50k vs SK_ID_CURR	0.00335463395777267
OCCUPATION_TYPEPrivate_service_staff vs AMT_INCOME_TOTAL	0.00315006972889265
NAME_EDUCATION_TYPEAcademic_degree vs AMT_REQ_CREDIT_BUREAU_YEAR	0.00260710306168192
OCCUPATION_TYPEIT_staff vs AMT_ANNUITY	0.00245729633562462
OCCUPATION_TYPERealty_agents vs AMT_INCOME_TOTAL	0.00242640861804307
OCCUPATION_TYPESecretaries vs DAYS_LAST_PHONE_CHANGE	0.00242402507038932
OCCUPATION_TYPECooking_staff vs OBS_60_CNT_SOCIAL_CIRCLE	0.0024124509259518
OCCUPATION_TYPEPrivate_service_staff vs EXT_SOURCE_1	0.00238003400278955
OCCUPATION_TYPESecretaries vs CREDIT_TO_INCOME_RATIO	0.00186217045978939
INCOME_BRACKET100k_150k vs CNT_CHILDREN	0.00174178591521049
INCOME_BRACKET50k_100k vs OBS_60_CNT_SOCIAL_CIRCLE	0.00163594095098542
OCCUPATION_TYPECooking_staff vs OBS_30_CNT_SOCIAL_CIRCLE	0.00154762948789423
AGE_BUCKET26_45 vs AMT_GOODS_PRICE	0.00125557108769278
INCOME_BRACKET100k_150k vs AMT_REQ_CREDIT_BUREAU_YEAR	0.00122421563409508
OCCUPATION_TYPEDrivers vs DAYS_LAST_PHONE_CHANGE	0.00122225218642
OCCUPATION_TYPECore_staff vs OBS_60_CNT_SOCIAL_CIRCLE	0.0010903919846858
OCCUPATION_TYPEHR_staff vs CREDIT_TO_GOODS_PRICE_RATIO	0.000863933486888425
OCCUPATION_TYPECore_staff vs OBS_30_CNT_SOCIAL_CIRCLE	0.000856242842075462
NAME_EDUCATION_TYPEIncomplete_higher vs CNT_CHILDREN	0.000835743196176742
AGE_BUCKET26_45 vs AMT_CREDIT	0.000769027534812102
AGE_BUCKET18_25 vs DEF_30_CNT_SOCIAL_CIRCLE	0.000693824285006427
OCCUPATION_TYPEWaiters/barmen_staff vs CREDIT_TO_INCOME_RATIO	0.000606315290711907
INCOME_BRACKET50k_100k vs OBS_30_CNT_SOCIAL_CIRCLE	0.000540105150630512
NAME_EDUCATION_TYPEHigher_education vs DAYS_LAST_PHONE_CHANGE	0.000494036802712064
EDUCATION_LEVELcollege_graduate vs DAYS_LAST_PHONE_CHANGE	0.00049136412606544
NAME_EDUCATION_TYPEAcademic_degree vs EXT_SOURCE_2	0.000436087375745348
OCCUPATION_TYPEIT_staff vs AMT_GOODS_PRICE	0.000420583949583275
OCCUPATION_TYPERealty_agents vs CNT_CHILDREN	0.000341001443834549
OCCUPATION_TYPECore_staff vs DEF_30_CNT_SOCIAL_CIRCLE	0.000327726639773283
NAME_EDUCATION_TYPEIncomplete_higher vs OBS_30_CNT_SOCIAL_CIRCLE	0.00032367500965916
OCCUPATION_TYPEDrivers vs OBS_30_CNT_SOCIAL_CIRCLE	0.000308341049977403
OCCUPATION_TYPEDrivers vs AMT_GOODS_PRICE	0.000306071939605461
OCCUPATION_TYPERealty_agents vs AMT_GOODS_PRICE	0.000266108447542289
HAS_CHILDREN vs DAYS_LAST_PHONE_CHANGE	0.000262236692113994
HAS_CHILDREN_NUM vs DAYS_LAST_PHONE_CHANGE	0.000262236692113994
NAME_EDUCATION_TYPEIncomplete_higher vs OBS_60_CNT_SOCIAL_CIRCLE	0.000243273116804251
INCOME_BRACKET250k_300k vs OBS_60_CNT_SOCIAL_CIRCLE	0.00022388643877962
OCCUPATION_TYPEDrivers vs OBS_60_CNT_SOCIAL_CIRCLE	0.000200347125856079
OCCUPATION_TYPEHigh_skill_tech_staff vs EXT_SOURCE_1	0.000182299449543124
OCCUPATION_TYPESales_staff vs DEF_30_CNT_SOCIAL_CIRCLE	0.000173298231150189
OCCUPATION_TYPEWaiters/barmen_staff vs AMT_INCOME_TOTAL	0.00014139068681972
OCCUPATION_TYPEHigh_skill_tech_staff vs CREDIT_TO_INCOME_RATIO	0.000133965739113427
OCCUPATION_TYPERealty_agents vs AMT_CREDIT	0.000125873332674716
INCOME_BRACKET250k_300k vs OBS_30_CNT_SOCIAL_CIRCLE	0.000121037427149442
NAME_EDUCATION_TYPEAcademic_degree vs AMT_INCOME_TOTAL	0.000119603327447643
OCCUPATION_TYPERealty_agents vs CREDIT_TO_INCOME_RATIO	0.000115365891512284
OCCUPATION_TYPEMedicine_staff vs EXT_SOURCE_2	0.000114781404419609
INCOME_BRACKET200k_250k vs CNT_CHILDREN	0.000101904261515897
OCCUPATION_TYPEPrivate_service_staff vs AMT_GOODS_PRICE	0.000100302800738638
NAME_EDUCATION_TYPEAcademic_degree vs EXT_SOURCE_1	9.49601755595651e-05
NAME_FAMILY_STATUSSeparated vs DAYS_EMPLOYED	8.04243920999208e-05
NAME_EDUCATION_TYPEAcademic_degree vs AMT_CREDIT	7.43416610398149e-05
OCCUPATION_TYPESales_staff vs CREDIT_TO_INCOME_RATIO	7.13168924179715e-05
CODE_GENDERM vs OBS_60_CNT_SOCIAL_CIRCLE	7.1205673276727e-05
CODE_GENDERF vs OBS_60_CNT_SOCIAL_CIRCLE	7.12056732764247e-05
OCCUPATION_TYPESecretaries vs EXT_SOURCE_2	6.88321393465872e-05
AGE_BUCKET26_45 vs DEF_30_CNT_SOCIAL_CIRCLE	6.74071313812606e-05
OCCUPATION_TYPEIT_staff vs EXT_SOURCE_2	6.64745554125951e-05
OCCUPATION_TYPESales_staff vs AMT_REQ_CREDIT_BUREAU_YEAR	4.88516627839526e-05
OCCUPATION_TYPEPrivate_service_staff vs AMT_CREDIT	4.79665549760518e-05
OCCUPATION_TYPEIT_staff vs OBS_30_CNT_SOCIAL_CIRCLE	4.69975311222128e-05
