Variable_Pair	P_Value
NAME_EDUCATION_TYPE vs AMT_REQ_CREDIT_BUREAU_YEAR	4.15377652127973e-272
INCOME_BRACKET vs DAYS_LAST_PHONE_CHANGE	5.22707834661946e-276
NAME_FAMILY_STATUS vs DAYS_LAST_PHONE_CHANGE	5.72890434935561e-282
HAS_CHILDREN vs EMPLOYED_IN_YEARS	4.28306025915595e-300
INCOME_BRACKET vs AMT_REQ_CREDIT_BUREAU_YEAR	1.74800462752402e-305
INCOME_BRACKET vs EXT_SOURCE_1	1.11961720896851e-309
TARGET vs EMPLOYED_IN_YEARS	6.96759869605346e-311
TARGET vs DAYS_BIRTH	0
TARGET vs EXT_SOURCE_1	0
TARGET vs EXT_SOURCE_2	0
TARGET vs AGE_IN_YEARS	0
NAME_CONTRACT_TYPE vs AMT_CREDIT	0
NAME_CONTRACT_TYPE vs AMT_ANNUITY	0
NAME_CONTRACT_TYPE vs AMT_GOODS_PRICE	0
NAME_CONTRACT_TYPE vs DAYS_BIRTH	0
NAME_CONTRACT_TYPE vs AGE_IN_YEARS	0
CODE_GENDER vs AMT_INCOME_TOTAL	0
CODE_GENDER vs AMT_ANNUITY	0
CODE_GENDER vs DAYS_BIRTH	0
CODE_GENDER vs DAYS_EMPLOYED	0
CODE_GENDER vs EXT_SOURCE_1	0
CODE_GENDER vs AGE_IN_YEARS	0
CODE_GENDER vs EMPLOYED_IN_YEARS	0
FLAG_OWN_CAR vs CNT_CHILDREN	0
FLAG_OWN_CAR vs AMT_INCOME_TOTAL	0
FLAG_OWN_CAR vs AMT_CREDIT	0
FLAG_OWN_CAR vs AMT_ANNUITY	0
FLAG_OWN_CAR vs AMT_GOODS_PRICE	0
FLAG_OWN_CAR vs DAYS_BIRTH	0
FLAG_OWN_CAR vs DAYS_EMPLOYED	0
FLAG_OWN_CAR vs AGE_IN_YEARS	0
NAME_EDUCATION_TYPE vs AMT_INCOME_TOTAL	0
NAME_EDUCATION_TYPE vs AMT_CREDIT	0
NAME_EDUCATION_TYPE vs AMT_ANNUITY	0
NAME_EDUCATION_TYPE vs AMT_GOODS_PRICE	0
NAME_EDUCATION_TYPE vs DAYS_BIRTH	0
NAME_EDUCATION_TYPE vs DAYS_EMPLOYED	0
NAME_EDUCATION_TYPE vs EXT_SOURCE_1	0
NAME_EDUCATION_TYPE vs EXT_SOURCE_2	0
NAME_EDUCATION_TYPE vs AGE_IN_YEARS	0
NAME_FAMILY_STATUS vs CNT_CHILDREN	0
NAME_FAMILY_STATUS vs AMT_CREDIT	0
NAME_FAMILY_STATUS vs AMT_ANNUITY	0
NAME_FAMILY_STATUS vs AMT_GOODS_PRICE	0
NAME_FAMILY_STATUS vs DAYS_BIRTH	0
NAME_FAMILY_STATUS vs DAYS_EMPLOYED	0
NAME_FAMILY_STATUS vs EXT_SOURCE_1	0
NAME_FAMILY_STATUS vs AGE_IN_YEARS	0
NAME_FAMILY_STATUS vs EMPLOYED_IN_YEARS	0
OCCUPATION_TYPE vs AMT_INCOME_TOTAL	0
OCCUPATION_TYPE vs AMT_CREDIT	0
OCCUPATION_TYPE vs AMT_ANNUITY	0
OCCUPATION_TYPE vs AMT_GOODS_PRICE	0
OCCUPATION_TYPE vs DAYS_BIRTH	0
OCCUPATION_TYPE vs DAYS_EMPLOYED	0
OCCUPATION_TYPE vs EXT_SOURCE_1	0
OCCUPATION_TYPE vs EXT_SOURCE_2	0
OCCUPATION_TYPE vs AGE_IN_YEARS	0
OCCUPATION_TYPE vs EMPLOYED_IN_YEARS	0
HAS_CHILDREN vs CNT_CHILDREN	0
HAS_CHILDREN vs DAYS_BIRTH	0
HAS_CHILDREN vs DAYS_EMPLOYED	0
HAS_CHILDREN vs EXT_SOURCE_1	0
HAS_CHILDREN vs AGE_IN_YEARS	0
EDUCATION_LEVEL vs AMT_INCOME_TOTAL	0
EDUCATION_LEVEL vs AMT_CREDIT	0
EDUCATION_LEVEL vs AMT_ANNUITY	0
EDUCATION_LEVEL vs AMT_GOODS_PRICE	0
EDUCATION_LEVEL vs DAYS_BIRTH	0
EDUCATION_LEVEL vs DAYS_EMPLOYED	0
EDUCATION_LEVEL vs EXT_SOURCE_1	0
EDUCATION_LEVEL vs EXT_SOURCE_2	0
EDUCATION_LEVEL vs AGE_IN_YEARS	0
AGE_BUCKET vs CNT_CHILDREN	0
AGE_BUCKET vs AMT_CREDIT	0
AGE_BUCKET vs AMT_ANNUITY	0
AGE_BUCKET vs AMT_GOODS_PRICE	0
AGE_BUCKET vs DAYS_BIRTH	0
AGE_BUCKET vs DAYS_EMPLOYED	0
AGE_BUCKET vs EXT_SOURCE_1	0
AGE_BUCKET vs EXT_SOURCE_2	0
AGE_BUCKET vs DAYS_LAST_PHONE_CHANGE	0
AGE_BUCKET vs AGE_IN_YEARS	0
AGE_BUCKET vs EMPLOYED_IN_YEARS	0
MARRIED vs CNT_CHILDREN	0
MARRIED vs AMT_CREDIT	0
MARRIED vs AMT_ANNUITY	0
MARRIED vs AMT_GOODS_PRICE	0
MARRIED vs DAYS_EMPLOYED	0
INCOME_BRACKET vs AMT_INCOME_TOTAL	0
INCOME_BRACKET vs AMT_CREDIT	0
INCOME_BRACKET vs AMT_ANNUITY	0
INCOME_BRACKET vs AMT_GOODS_PRICE	0
INCOME_BRACKET vs DAYS_BIRTH	0
INCOME_BRACKET vs DAYS_EMPLOYED	0
INCOME_BRACKET vs EXT_SOURCE_2	0
INCOME_BRACKET vs AGE_IN_YEARS	0
